doc_id,sentence_id,sentence_text,verbatim_label,verbatim_labels,annotator_count,annotators,source_annotation_count,alignment_type,source_html,source_annotation_file
DB_2,DB_2_S3,"At Blackbaud, we are committed to protecting your privacy.",Updated Privacy Policy,Updated Privacy Policy,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S4,This Policy applies to Blackbaud’s collection and use of personal data in connection with your use of Blackbaud Identity (“BBID”).,Updated Privacy Policy,Updated Privacy Policy,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S5,"For information about our marketing practices and provision of the Blackbaud Solutions, customer support and other services (collectively, the “Services”), for example if you visit the website, interact with us at industry conferences, or work for a current or prospective customer of the Services), please see our general privacy policy at",Updated Privacy Policy,Updated Privacy Policy,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S7,"If you only interact with Blackbaud by using BBID, only this policy will apply to you.",Updated Privacy Policy,Updated Privacy Policy,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S8,The terms “personal data” or “personal information” refer to information that can reasonably identify an individual.,Updated Privacy Policy,Updated Privacy Policy,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S10,"We collect personal data that you provide to us when you are asked to register for a Blackbaud ID and when you use the Services you access through BBID, including your name, email address, phone number, IP address, and organization you’re affiliated with that has contracted for the Services you are using BBID to access.",Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,annotation_in_sentence,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S11,Blackbaud collects data in the following categories:,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,2,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S13,Identifiers,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S14,"Name, email, phone number, IP address",Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S15,Internet/Solutions activity,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S16,Your interaction with our websites or Solutions,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S17,Professional information,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S18,Organization for which you are a user,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S24,We keep your personal data in an identifiable form for as long as we have a legitimate reason to use the data and as required by law.,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra3,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S25,Blackbaud may share your personal information as necessary to provide the Services or as you specifically request.,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S26,"We may disclose your data to our affiliated organizations and subsidiaries, and to service providers who render services to us or you on our behalf.",Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S27,We also may disclose your information if required by law or to enforce our legal rights or defend us against a legal claim or for the identification or remediation of suspected or actual fraudulent activity or security incidents.,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
DB_2,DB_2_S28,We may share your information in connection with a sale or reorganization of Blackbaud.,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/2.html,C3PA_Dataset/Annotations/DB/2.csv
